"[""bank"", ""bar [pub]"", ""gang"", ""meeting"", ""party-girl"", ""robbery""]","[""Avant-garde"", ""/"", ""Experimental"", ""Drama""]","[""Bank Robbery"", ""Crime Gone Awry"", ""Wolf in Sheep's Clothing""]"
"[""obsession"", ""patient [medical]""]","[""Thriller""]","[""Blackmail"", ""Doctors and Patients"", ""Obsessive Quests"", ""Schemes and Ruses"", ""Wolf in Sheep's Clothing""]"
"[""folk-tales"", ""sex"", ""sister"", ""teenagers""]","[""Crime""]","[""Dangerous Attraction"", ""Serial Killers"", ""Wolf in Sheep's Clothing"", ""Woman In Jeopardy""]"
"[""abandonment"", ""daughter"", ""past"", ""religion"", ""wife""]","[""Drama""]","[""Fathers and Sons"", ""Members of the Clergy"", ""Wolf in Sheep's Clothing""]"
"[""cabin"", ""eccentric"", ""filmmaker"", ""misfit"", ""video-diary"", ""woods [place]""]","[""Horror""]","[""Mind Games"", ""Misfits and Outsiders"", ""Mysterious Strangers"", ""Wolf in Sheep's Clothing""]"
"[""group"", ""servicemen"", ""bank-robbery"", ""British"", ""expert"", ""retirement""]","[""Crime"", ""Comedy"", ""Thriller""]","[""Bank Robbery""]"
"[""cabaret-singer"", ""country-inn"", ""innkeeper"", ""slasher""]","[""Horror""]","[""Survival in the Wilderness"", ""Wolf in Sheep's Clothing""]"
"[""armored-car""]","[""Comedy""]","[""Bank Robbery""]"
"[""accomplice [criminal]"", ""bank-robbery"", ""janitor"", ""hockey-player""]","[""Crime""]","[""Bank Robbery"", ""Dishonor Among Thieves"", ""Small-Town Life""]"
"[""law"", ""betrayal"", ""bomb"", ""brother"", ""family"", ""father"", ""fugitive"", ""missing-person"", ""on-the-run"", ""radical"", ""romance"", ""search"", ""woman""]","[""Comedy"", ""Drama""]","[""Sibling Relationships"", ""Fathers and Sons"", ""Obsessive Quests"", ""Bank Robbery"", ""Haunted By the Past"", ""Suburban Dysfunction""]"
"[""bank-robbery"", ""elderly"", ""retirement"", ""friendship"", ""heart-attack""]","[""Comedy"", ""Crime""]","[""Unlikely Criminals"", ""Fish Out of Water"", ""Bank Robbery"", ""Golden Years""]"
"[""Christmas"", ""handyman"", ""house"", ""incest"", ""mansion"", ""orgy""]","[""Horror""]","[""Mind Games"", ""Femmes Fatales"", ""Wolf in Sheep's Clothing""]"
"[""outlaw [Western]"", ""revenge"", ""gunfighter"", ""death-in-family"", ""fame"", ""family"", ""infamy"", ""legend  [fable]"", ""mother"", ""railroad"", ""reporter"", ""westward-expansion"", ""Wild-West"", ""bank-robbery"", ""loot"", ""gangster""]","[""Western""]","[""Bank Robbery"", ""Sibling Relationships""]"
"[""gangster"", ""FBI (Federal Bureau of Investigation)"", ""career"", ""movie-theater""]","[""Crime""]","[""Bank Robbery"", ""Rise To Power""]"
"[""serial-killer"", ""boyfriend"", ""cross-country"", ""hitchhiker"", ""photographer"", ""writer"", ""yuppies""]","[""Crime""]","[""Lovers on the Lam"", ""Serial Killers"", ""Wolf in Sheep's Clothing""]"
